instance,arg_count,trial,fact,foil,semantics,C_cap_size,C_p_size,C_q_size,C_delta_size,time_sec
A-1-BA_40_80_5.apx,41,1,a15,a1,admissible,12,13,9,2,10.867877
A-1-BA_40_80_5.apx,41,2,a40,a0,stable,15,10,5,1,0.057542
A-1-BA_40_80_5.apx,41,3,a32,a0,complete,15,10,5,1,0.056103
A-1-BA_40_80_5.apx,41,4,a32,a1,stable,12,13,9,2,10.931680
A-1-BA_40_80_5.apx,41,5,a12,a0,stable,15,10,5,1,0.054528
A-1-BA_40_80_5.apx,41,6,a32,a0,stable,16,9,4,1,0.054186
A-1-BA_40_80_5.apx,41,7,a13,a0,complete,15,10,5,1,0.054559
A-1-BA_40_80_5.apx,41,8,a4,a0,admissible,14,11,6,1,0.055389
A-1-BA_40_80_5.apx,41,9,a21,a0,stable,16,9,4,1,0.060134
A-1-BA_40_80_5.apx,41,10,a23,a1,admissible,15,10,6,2,10.788590
A-1-BA_40_80_5.apx,41,AVERAGE,,,14.500,10.500,5.800,1.300,,3.298059

B-1-BA_100_20_1.apx,101,1,a24,a78,admissible,53,0,1,1,0.137296
B-1-BA_100_20_1.apx,101,2,a36,a6,complete,58,4,3,1,0.629634
B-1-BA_100_20_1.apx,101,3,a68,a44,stable,59,2,1,1,0.209364
B-1-BA_100_20_1.apx,101,4,a46,a10,admissible,50,1,3,1,0.836080
B-1-BA_100_20_1.apx,101,5,a72,a11,complete,56,9,6,1,1.482345
B-1-BA_100_20_1.apx,101,6,a3,a20,stable,59,2,1,1,0.499819
B-1-BA_100_20_1.apx,101,7,a26,a47,complete,64,1,1,1,0.217838
B-1-BA_100_20_1.apx,101,8,a15,a66,stable,61,1,1,1,0.199625
B-1-BA_100_20_1.apx,101,9,a21,a20,admissible,47,4,4,1,0.480387
B-1-BA_100_20_1.apx,101,10,a15,a94,stable,61,1,1,1,0.129691
B-1-BA_100_20_1.apx,101,AVERAGE,,,56.800,2.500,2.200,1.000,,0.482208

A-1-stb_190_70.apx,190,1,a117,a90,admissible,28,23,18,1,0.337528
A-1-stb_190_70.apx,190,2,a2,a0,stable,31,15,14,1,2.510525
A-1-stb_190_70.apx,190,3,a16,a178,complete,41,10,8,1,20.450777
A-1-stb_190_70.apx,190,4,a16,a67,stable,18,33,30,1,0.425179
A-1-stb_190_70.apx,190,5,a113,a14,stable,27,24,20,1,91.822711
A-1-stb_190_70.apx,190,6,a16,a132,stable,29,22,16,1,6.242394
[Skip] No feasible baseline CE for this (a115, a105, complete)
A-1-stb_190_70.apx,190,7,a189,a120,admissible,36,10,11,1,2.785171
[Skip] No feasible baseline CE for this (a56, a166, stable)
A-1-stb_190_70.apx,190,8,a48,a176,stable,32,14,18,1,8.457120
A-1-stb_190_70.apx,190,9,a162,a86,admissible,23,27,29,1,0.361910
A-1-stb_190_70.apx,190,10,a119,a180,stable,23,23,27,1,3.750346
[Skip] No feasible baseline CE for this (a2, a105, complete)
[Skip] No feasible baseline CE for this (a119, a168, admissible)
A-1-stb_190_70.apx,190,AVERAGE,,,28.800,20.100,19.100,1.000,,13.714366

B-2-stb_287_202.apx,287,1,a129,a276,admissible,24,22,23,1,19.519457
B-2-stb_287_202.apx,287,2,a169,a243,complete,10,37,36,1,270.536000
[Skip] No feasible baseline CE for this (a231, a202, stable)
[Skip] No feasible baseline CE for this (a180, a116, admissible)
B-2-stb_287_202.apx,287,3,a238,a125,complete,25,22,22,1,22.427196
B-2-stb_287_202.apx,287,4,a15,a55,stable,11,36,31,1,30.171702
B-2-stb_287_202.apx,287,5,a233,a125,stable,25,22,22,1,17.548236
B-2-stb_287_202.apx,287,6,a110,a263,complete,15,32,30,1,197.471131
B-2-stb_287_202.apx,287,7,a286,a239,stable,14,33,35,1,31.974379
B-2-stb_287_202.apx,287,8,a171,a57,stable,16,31,27,1,48.550300
B-2-stb_287_202.apx,287,9,a102,a37,stable,18,29,29,1,14.195624
B-2-stb_287_202.apx,287,10,a52,a207,stable,19,28,29,1,50.232372
B-2-stb_287_202.apx,287,AVERAGE,,,17.700,29.200,28.400,1.000,,70.262640

A-1-stb_389_42.apx,389,1,a123,a69,admissible,82,10,15,1,2.846167
A-1-stb_389_42.apx,389,2,a29,a0,stable,66,29,31,1,11.714481
[Skip] No feasible baseline CE for this (a238, a252, complete)
A-1-stb_389_42.apx,389,3,a238,a369,stable,92,2,3,1,0.702504
A-1-stb_389_42.apx,389,4,a115,a178,stable,55,42,39,1,31.416132
A-1-stb_389_42.apx,389,5,a238,a163,stable,56,38,46,1,3.549160
A-1-stb_389_42.apx,389,6,a116,a117,complete,56,43,45,1,2.878373
A-1-stb_389_42.apx,389,7,a285,a144,admissible,67,29,19,1,16.563680
A-1-stb_389_42.apx,389,8,a382,a220,stable,71,24,25,1,23.532829
A-1-stb_389_42.apx,389,9,a358,a250,stable,35,60,68,1,77.016385
[Skip] No feasible baseline CE for this (a242, a55, admissible)
A-1-stb_389_42.apx,389,10,a289,a119,complete,61,36,32,1,37.331345
A-1-stb_389_42.apx,389,AVERAGE,,,64.100,31.300,32.300,1.000,,20.755106


